-----------------------------------------------------
Inference for Bugs model at "C:/Work/Research/Github/JARAbeta//Chin_penguin/output1/jara.jags", fit using jags,
 2 chains, each with 1100 iterations (first 1000 discarded)
 n.sims = 200 iterations saved
               mu.vect  sd.vect      2.5%       25%       50%       75%     97.5%  Rhat n.eff
N.est[37,6]     13.686    4.406     7.346    10.639    12.977    15.453    26.804 1.013   200
N.est[38,6]     13.008    5.673     5.357     9.283    12.063    15.321    28.050 1.031    59
N.est[39,6]     12.152    5.771     3.915     8.293    11.169    15.292    26.244 1.025   110
N.est[40,6]     11.338    5.522     3.550     7.672    10.380    14.287    24.930 1.025   110
N.est[1,7]    6140.871 1683.858  3763.299  5034.423  5816.940  6974.985 10185.862 1.014    85
N.est[2,7]    5818.930  916.936  4026.923  5239.752  5843.850  6355.885  7675.561 1.122    18
N.est[3,7]    4759.306 1049.484  2909.988  3970.896  4720.321  5373.027  7295.079 1.041    89
N.est[4,7]    3973.608 1067.486  2185.557  3319.953  3840.469  4439.889  6719.046 1.084    42
N.est[5,7]    3311.086  878.548  1959.893  2763.219  3136.767  3721.590  5329.881 1.032   100
N.est[6,7]    2618.647  374.683  1958.526  2380.585  2587.892  2818.354  3401.721 1.017   200
N.est[7,7]    2331.054  296.912  1822.707  2116.331  2305.376  2511.260  3001.240 1.051    34
N.est[8,7]    1312.909  231.679   954.011  1159.801  1270.643  1435.466  1927.772 1.604     5
N.est[9,7]    1329.968  306.955   862.706  1111.247  1265.144  1551.619  1886.498 1.251    10
N.est[10,7]   1295.383  313.007   779.255  1068.035  1258.345  1487.684  2016.732 1.153    14
N.est[11,7]   1288.861  206.524   965.193  1145.994  1266.034  1384.636  1765.857 1.163    15
N.est[12,7]   1479.811  324.608   945.974  1236.169  1456.012  1685.414  2199.169 1.004   180
N.est[13,7]   1741.989  360.270  1144.795  1477.042  1703.799  1981.579  2543.302 1.007   200
N.est[14,7]   2022.723  292.474  1558.405  1798.561  2006.663  2187.364  2610.461 1.004   180
N.est[15,7]   2386.106  481.821  1597.901  2055.486  2332.224  2609.358  3548.104 1.044    37
N.est[16,7]   2788.850  430.781  2091.868  2508.502  2740.366  3010.569  3687.618 1.132    22
N.est[17,7]   2947.942  720.226  1848.538  2406.107  2861.487  3358.090  4636.998 1.011   200
N.est[18,7]   2967.445  889.437  1641.561  2354.163  2795.367  3351.417  5542.697 1.021   200
