"assessment","scenario","name","year","obs","obs.err","hat","lci","uci","lpp","upp","residual"
"Afr_penguin","s1","Stony.Point",1985,11,0.110137347445846,10.9880962644297,8.94914773205736,13.4272682159606,8.11284608038902,14.8749392597331,0.00108274373461725
"Afr_penguin","s1","Stony.Point",1986,27,0.110137347445846,25.4119602171838,20.5755804288565,31.148890851385,18.6032467891478,34.2489080286305,0.0606169281142632
"Afr_penguin","s1","Stony.Point",1989,69,0.110137347445846,68.107194952086,55.2691277032951,84.2700981386781,50.5179818356612,92.3243316355843,0.0130236442754272
"Afr_penguin","s1","Stony.Point",1990,89,0.110137347445846,85.2877551004806,69.8014304016191,104.07633818552,62.9054791101815,114.688504986802,0.0426054765297854
"Afr_penguin","s1","Stony.Point",1991,77,0.110137347445846,75.5086732754503,61.3823409465369,92.589693565297,55.7178448001173,101.18044189749,0.0195578943761232
"Afr_penguin","s1","Stony.Point",1992,57,0.110137347445846,56.9057625539535,46.4184137311809,69.6394306652588,42.1219901049987,77.3282092674913,0.00165465671682519
"Afr_penguin","s1","Stony.Point",1993,40,0.110137347445846,41.794256967467,34.269455310309,51.2704473094276,30.8813395065167,56.8071513658883,-0.0438794828546762
"Afr_penguin","s1","Stony.Point",1994,44,0.110137347445846,44.3683436601174,35.9418770301671,54.4708837672581,32.598058282708,60.6339411871493,-0.00833660060036667
"Afr_penguin","s1","Stony.Point",1998,72,0.110137347445846,72.2220673742636,58.6951828683322,89.8708940500825,52.6134849727679,98.589506163341,-0.00307952248645282
"Afr_penguin","s1","Stony.Point",2000,104,0.110137347445846,102.609938848215,83.357645250023,125.682262419485,75.4742855537581,138.397729425368,0.0134561012306413
"Afr_penguin","s1","Stony.Point",2001,111,0.110137347445846,110.65380496821,90.4138556696405,135.737475219709,82.2161518628027,148.988900129649,0.0031237479848194
"Afr_penguin","s1","Stony.Point",2003,123,0.110137347445846,120.248193504467,97.9911184038405,147.245250135844,88.8112895186688,162.213672307597,0.0226264693312626
"Afr_penguin","s1","Stony.Point",2004,98,0.110137347445846,106.078737827505,86.603122201711,131.00127798167,78.6769735969527,144.219286011693,-0.079214149388358
"Afr_penguin","s1","Stony.Point",2005,186,0.110137347445846,181.665490579765,148.114453336574,223.051188538824,134.659377970311,244.82188562717,0.0235796416118781
"Afr_penguin","s1","Stony.Point",2006,265,0.110137347445846,255.789784547094,208.500498353544,312.623091846057,188.284199024408,345.894626449406,0.0353738729512916
"Afr_penguin","s1","Stony.Point",2007,260,0.110137347445846,264.621857457039,217.197055194193,324.271773914754,196.683634841435,358.332913005633,-0.0176202229114111
"Afr_penguin","s1","Stony.Point",2008,310,0.110137347445846,318.284924166604,260.717033787553,389.876323212984,236.437447763694,431.682411865103,-0.0263746720886848
"Afr_penguin","s1","Stony.Point",2009,487,0.110137347445846,469.360404331362,382.972300472935,574.75589397378,348.037987712954,633.692490945962,0.0368931970128212
"Afr_penguin","s1","Stony.Point",2010,466,0.110137347445846,505.202084985405,414.101306184018,622.290867779404,374.667423419913,686.248345426296,-0.0807728833916688
"Afr_penguin","s1","Stony.Point",2011,1148,0.110137347445846,1107.64156269314,901.722737360242,1355.56618747607,819.020135474272,1494.12854647257,0.0357882612839164
"Afr_penguin","s1","Stony.Point",2012,1842,0.110137347445846,1766.6568265534,1437.59153609747,2166.04672508482,1292.90792866147,2381.51757539647,0.0417629758340938
"Afr_penguin","s1","Stony.Point",2013,2033,0.110137347445846,2009.99936813685,1639.35820984696,2463.79066813292,1485.57721253165,2695.74129782382,0.0113781269350532
"Afr_penguin","s1","Stony.Point",2014,2045,0.110137347445846,2078.68193214478,1699.15457506107,2545.63540471985,1545.53044547985,2814.22578096548,-0.0163362168854739
"Afr_penguin","s1","Stony.Point",2015,2533,0.110137347445846,2467.52097652484,2009.76111848759,3026.25184609341,1810.5318078091,3335.02100893079,0.0261903776056167
"Afr_penguin","s1","Stony.Point",2016,2388,0.110137347445846,2339.1183002368,1911.12265218637,2854.66026460935,1724.81057325253,3160.52804239396,0.0206821319363293
"Afr_penguin","s1","Stony.Point",2017,1774,0.110137347445846,1865.74459046691,1510.25663622089,2318.16163485777,1378.82294741085,2563.44840399967,-0.050423333749805
"Afr_penguin","s1","Dyer.Island",1979,22655,0.110137347445846,22737.1432980954,18295.3354365392,28183.8932322651,16668.6000732537,31289.7838658595,-0.00361927777780124
"Afr_penguin","s1","Dyer.Island",1986,18481,0.110137347445846,18130.4515422085,14626.8772682753,22566.2792839016,13261.8025060786,24833.7880231443,0.0191502470439957
"Afr_penguin","s1","Dyer.Island",1990,8349,0.110137347445846,8282.1888265713,6718.63414733828,10216.1678344868,6046.67614458223,11236.9347818779,0.00803448671409157
"Afr_penguin","s1","Dyer.Island",1991,6115,0.110137347445846,6351.41231285797,5216.44350986781,7782.56326631094,4726.42116587619,8629.82189723689,-0.0379324305093967
"Afr_penguin","s1","Dyer.Island",1992,7579,0.110137347445846,6774.12465785848,5499.0301189982,8280.14166070255,4955.16660639419,9116.79634064163,0.112271108203505
"Afr_penguin","s1","Dyer.Island",1993,2374,0.110137347445846,2782.22136819131,2278.77839487169,3460.33039031229,2066.28589319073,3845.68313015807,-0.158673365748163
"Afr_penguin","s1","Dyer.Island",1994,4649,0.110137347445846,4387.60027858972,3576.84773434901,5389.73751987899,3221.80195979766,5964.29726045678,0.0578696986586227
"Afr_penguin","s1","Dyer.Island",1995,4260,0.110137347445846,4176.58047490035,3397.79159887384,5113.58852325789,3083.82514195496,5621.21525038698,0.0197763167506722
"Afr_penguin","s1","Dyer.Island",1996,3279,0.110137347445846,3296.19595383594,2684.25643755594,4049.92581803216,2447.46127668964,4465.72574510495,-0.00523056443084258
"Afr_penguin","s1","Dyer.Island",1997,2745,0.110137347445846,2722.72035118961,2228.57000744534,3327.46534184006,2017.35842907032,3697.54171096859,0.00814956533567024
"Afr_penguin","s1","Dyer.Island",1998,1963,0.110137347445846,2058.93976786886,1684.47781644451,2522.50204876946,1519.41250182653,2802.9547929821,-0.047717259224302
"Afr_penguin","s1","Dyer.Island",1999,2363,0.110137347445846,2322.81861307112,1888.25022318916,2814.30067059004,1711.42507242702,3112.20791734488,0.0171506305167455
"Afr_penguin","s1","Dyer.Island",2000,2220,0.110137347445846,2217.93063115472,1815.73600297482,2697.47460606505,1647.25390334273,2990.40098586593,0.000932582848739649
"Afr_penguin","s1","Dyer.Island",2001,2088,0.110137347445846,2101.09528503334,1724.24852944591,2584.12930164346,1552.26750894004,2849.46609271682,-0.00625210304319079
"Afr_penguin","s1","Dyer.Island",2002,2145,0.110137347445846,2121.99443182145,1733.09445835718,2581.70461247933,1563.01453752201,2860.65390745058,0.0107831362154513
"Afr_penguin","s1","Dyer.Island",2003,1929,0.110137347445846,1961.67616993659,1605.19750319011,2420.87755958594,1458.68012766984,2663.45350940427,-0.0167975625964445
"Afr_penguin","s1","Dyer.Island",2004,2216,0.110137347445846,2179.77991405457,1778.3165570547,2657.1279852326,1613.83921312561,2942.8309315163,0.016479854036227
"Afr_penguin","s1","Dyer.Island",2005,2053,0.110137347445846,2057.63121152548,1678.72217575814,2529.18369269719,1526.64566141906,2784.8000545674,-0.00225328580778328
"Afr_penguin","s1","Dyer.Island",2006,2057,0.110137347445846,2000.84938528127,1635.46539184005,2450.9367672294,1487.25685115669,2681.16882903755,0.0276768276266335
"Afr_penguin","s1","Dyer.Island",2007,1513,0.110137347445846,1559.29519421958,1274.70119934561,1908.50015949281,1155.5759145576,2114.98343790204,-0.0301394857863047
"Afr_penguin","s1","Dyer.Island",2008,1605,0.110137347445846,1571.59435200062,1281.38464504343,1914.10956646871,1163.17134796843,2120.31209955203,0.0210331416756402
"Afr_penguin","s1","Dyer.Island",2009,1260,0.110137347445846,1297.77016092619,1066.78273551356,1590.17567515267,964.739181345627,1757.02008773005,-0.0295358099339147
"Afr_penguin","s1","Dyer.Island",2010,1455,0.110137347445846,1391.66926037725,1136.74148899941,1698.65687667735,1030.08007851058,1880.29771860112,0.0445019672463518
"Afr_penguin","s1","Dyer.Island",2011,975,0.110137347445846,1032.84277491498,845.87574020693,1265.52862531117,767.509242010178,1398.21710157747,-0.0576327841321955
"Afr_penguin","s1","Dyer.Island",2012,1300,0.110137347445846,1268.26901220997,1029.73534626224,1551.07944054109,931.845978036231,1707.44282992169,0.0247112762143695
"Afr_penguin","s1","Dyer.Island",2013,1250,0.110137347445846,1242.529155303,1014.56970874895,1513.03261583923,916.568868305621,1671.42057873968,0.00599460756826353
"Afr_penguin","s1","Dyer.Island",2014,1148,0.110137347445846,1158.78908702182,947.974386572512,1422.6577107404,857.862316241214,1581.74596001948,-0.00935427148930934
"Afr_penguin","s1","Dyer.Island",2015,1159,0.110137347445846,1172.80732409838,960.058710638266,1436.22462465371,869.86984153808,1595.67674860412,-0.0118427327410577
"Afr_penguin","s1","Dyer.Island",2016,1376,0.110137347445846,1310.50261175512,1062.61272851866,1606.01312827801,968.154939894772,1771.58543687219,0.0487700027862781
